time,x,y,z
18860,0.20314,0.09427,-0.13570
18909,-0.06502,-0.23277,-0.02899
18959,-0.06108,0.20306,-0.13217
19009,0.12004,-0.22034,-0.11029
19058,-0.07169,0.07678,-0.13606
19110,0.07268,0.12555,-0.12758
19160,0.08766,-0.10175,-0.02536
19210,-0.16927,-0.00316,0.04436
19259,-0.02811,0.21849,-0.07156
19310,0.05115,-0.22484,-0.02827
19360,-0.13469,0.16307,-0.03358
19410,0.00632,-0.20122,-0.00200
19460,-0.08940,-0.16687,0.01360
19510,-0.13213,0.24652,-0.04747
19559,0.05901,0.18590,-0.04123
19610,-0.01561,0.02478,0.08746
19660,-0.25005,0.15465,0.18727
19711,-0.02135,0.06557,0.08072
19765,0.15649,-0.29808,-0.02672
19810,-0.02913,-0.02319,-0.02185
19864,0.00291,-0.07553,0.04959
19911,-0.05663,0.10408,0.04167
19959,-0.01543,0.19946,0.01363
20009,-0.03363,-0.03638,0.05168
20059,-0.11520,-0.02048,0.00676
20109,0.08073,-0.24907,-0.07130
20158,0.00403,-0.10336,-0.05687
20213,-0.03656,0.19031,-0.00041
20259,0.03371,-0.07397,0.13351
20309,-0.16161,0.09944,0.17545
20359,0.02699,-0.00954,0.09138
20409,0.05481,-0.09178,0.05457
20458,0.07161,-0.01765,0.03229
20508,0.06812,-0.30560,0.09389
20559,-0.06310,-0.05370,0.03075
20610,0.07024,0.20076,-0.10030
20659,0.15977,-0.17125,-0.09354
20711,-0.06342,0.12527,-0.01682
20759,-0.04036,0.27359,-0.02388
20810,0.09689,-0.39424,0.03069
20875,-0.05528,0.20865,-0.08745
20909,0.13708,0.01083,-0.04765
20958,-0.04323,-0.00558,0.08072
21010,-0.04733,0.12802,0.06107
21060,0.03740,0.08847,0.01184
21109,0.08391,-0.00029,-0.02142
21162,0.07439,-0.12724,0.00420
21212,-0.02789,-0.08479,0.02403
21262,0.01440,0.06673,-0.02023
21312,0.10101,0.07817,-0.05521
21360,0.00377,-0.03349,0.01323
21409,-0.04308,-0.02983,0.06653
21460,-0.01497,0.17566,-0.05130
21511,0.10550,0.00496,-0.09378
21563,-0.00613,0.03563,-0.06299
21610,0.01180,-0.05586,-0.04099
21663,-0.04675,0.02884,-0.00436
21711,-0.03456,0.08063,0.01183
21762,0.03455,-0.06137,0.03970
21810,-0.00208,-0.19246,0.01570
21868,-0.00291,-0.15854,0.01450
21909,-0.00014,-0.10606,-0.02240
21959,0.08098,-0.15892,0.03723
